measurement_id,run_id,sensor_id,t_seconds,temperature_c,ambient_c
14998,75,S3,591.0,27.550,21.53
14999,75,S3,594.0,27.431,21.53
15000,75,S3,597.0,27.431,21.53
15001,76,S4,0.0,92.412,20.75
15002,76,S4,3.0,90.463,20.75
15003,76,S4,6.0,88.586,20.75
15004,76,S4,9.0,86.726,20.75
15005,76,S4,12.0,85.067,20.75
15006,76,S4,15.0,83.248,20.75
15007,76,S4,18.0,81.625,20.75
15008,76,S4,21.0,79.955,20.75
15009,76,S4,24.0,78.412,20.75
15010,76,S4,27.0,76.874,20.75
15011,76,S4,30.0,75.349,20.75
15012,76,S4,33.0,73.859,20.75
15013,76,S4,36.0,72.370,20.75
15014,76,S4,39.0,71.068,20.75
15015,76,S4,42.0,69.701,20.75
15016,76,S4,45.0,68.389,20.75
15017,76,S4,48.0,67.141,20.75
15018,76,S4,51.0,65.868,20.75
15019,76,S4,54.0,64.709,20.75
15020,76,S4,57.0,63.565,20.75
15021,76,S4,60.0,62.369,20.75
15022,76,S4,63.0,61.252,20.75
15023,76,S4,66.0,60.046,20.75
15024,76,S4,69.0,59.123,20.75
15025,76,S4,72.0,58.061,20.75
15026,76,S4,75.0,57.064,20.75
15027,76,S4,78.0,56.089,20.75
15028,76,S4,81.0,55.228,20.75
15029,76,S4,84.0,54.225,20.75
15030,76,S4,87.0,53.304,20.75
15031,76,S4,90.0,52.455,20.75
15032,76,S4,93.0,51.531,20.75
15033,76,S4,96.0,50.871,20.75
15034,76,S4,99.0,50.034,20.75
15035,76,S4,102.0,49.180,20.75
15036,76,S4,105.0,48.465,20.75
15037,76,S4,108.0,47.623,20.75
15038,76,S4,111.0,46.836,20.75
15039,76,S4,114.0,46.282,20.75
15040,76,S4,117.0,45.500,20.75
15041,76,S4,120.0,44.883,20.75
15042,76,S4,123.0,44.237,20.75
15043,76,S4,126.0,43.645,20.75
15044,76,S4,129.0,43.039,20.75
15045,76,S4,132.0,42.461,20.75
15046,76,S4,135.0,41.799,20.75
15047,76,S4,138.0,41.217,20.75
15048,76,S4,141.0,40.713,20.75
15049,76,S4,144.0,40.144,20.75
15050,76,S4,147.0,39.646,20.75
15051,76,S4,150.0,39.189,20.75
15052,76,S4,153.0,38.689,20.75
15053,76,S4,156.0,38.085,20.75
15054,76,S4,159.0,37.801,20.75
15055,76,S4,162.0,37.270,20.75
15056,76,S4,165.0,36.774,20.75
15057,76,S4,168.0,36.342,20.75
15058,76,S4,171.0,35.960,20.75
15059,76,S4,174.0,35.541,20.75
15060,76,S4,177.0,35.129,20.75
15061,76,S4,180.0,34.786,20.75
15062,76,S4,183.0,34.398,20.75
15063,76,S4,186.0,33.977,20.75
15064,76,S4,189.0,33.715,20.75
15065,76,S4,192.0,33.177,20.75
15066,76,S4,195.0,33.065,20.75
15067,76,S4,198.0,32.730,20.75
15068,76,S4,201.0,32.300,20.75
15069,76,S4,204.0,32.011,20.75
15070,76,S4,207.0,31.703,20.75
15071,76,S4,210.0,31.451,20.75
15072,76,S4,213.0,31.105,20.75
15073,76,S4,216.0,30.791,20.75
15074,76,S4,219.0,30.570,20.75
15075,76,S4,222.0,30.314,20.75
15076,76,S4,225.0,30.086,20.75
15077,76,S4,228.0,29.801,20.75
15078,76,S4,231.0,29.546,20.75
15079,76,S4,234.0,29.376,20.75
15080,76,S4,237.0,29.078,20.75
15081,76,S4,240.0,28.918,20.75
15082,76,S4,243.0,28.701,20.75
15083,76,S4,246.0,28.490,20.75
15084,76,S4,249.0,28.205,20.75
15085,76,S4,252.0,28.074,20.75
15086,76,S4,255.0,27.897,20.75
15087,76,S4,258.0,27.653,20.75
15088,76,S4,261.0,27.436,20.75
15089,76,S4,264.0,27.311,20.75
15090,76,S4,267.0,27.024,20.75
15091,76,S4,270.0,26.934,20.75
15092,76,S4,273.0,26.827,20.75
15093,76,S4,276.0,26.701,20.75
15094,76,S4,279.0,26.558,20.75
15095,76,S4,282.0,26.307,20.75
15096,76,S4,285.0,26.172,20.75
15097,76,S4,288.0,25.999,20.75
15098,76,S4,291.0,25.856,20.75
15099,76,S4,294.0,25.738,20.75
15100,76,S4,297.0,25.570,20.75
15101,76,S4,300.0,25.515,20.75
15102,76,S4,303.0,25.326,20.75
15103,76,S4,306.0,25.206,20.75
15104,76,S4,309.0,25.095,20.75
15105,76,S4,312.0,25.039,20.75
15106,76,S4,315.0,24.744,20.75
15107,76,S4,318.0,24.807,20.75
15108,76,S4,321.0,24.608,20.75
15109,76,S4,324.0,24.530,20.75
15110,76,S4,327.0,24.399,20.75
15111,76,S4,330.0,24.390,20.75
15112,76,S4,333.0,24.286,20.75
15113,76,S4,336.0,24.146,20.75
15114,76,S4,339.0,24.058,20.75
15115,76,S4,342.0,24.014,20.75
15116,76,S4,345.0,23.887,20.75
15117,76,S4,348.0,23.894,20.75
15118,76,S4,351.0,23.723,20.75
15119,76,S4,354.0,23.599,20.75
15120,76,S4,357.0,23.648,20.75
15121,76,S4,360.0,23.472,20.75
15122,76,S4,363.0,23.400,20.75
15123,76,S4,366.0,23.298,20.75
15124,76,S4,369.0,23.229,20.75
15125,76,S4,372.0,23.215,20.75
15126,76,S4,375.0,23.145,20.75
15127,76,S4,378.0,23.018,20.75
15128,76,S4,381.0,22.997,20.75
15129,76,S4,384.0,23.024,20.75
15130,76,S4,387.0,22.945,20.75
15131,76,S4,390.0,22.849,20.75
15132,76,S4,393.0,22.792,20.75
15133,76,S4,396.0,22.689,20.75
15134,76,S4,399.0,22.668,20.75
15135,76,S4,402.0,22.629,20.75
15136,76,S4,405.0,22.619,20.75
15137,76,S4,408.0,22.525,20.75
15138,76,S4,411.0,22.453,20.75
15139,76,S4,414.0,22.574,20.75
15140,76,S4,417.0,22.323,20.75
15141,76,S4,420.0,22.224,20.75
15142,76,S4,423.0,22.275,20.75
15143,76,S4,426.0,22.317,20.75
15144,76,S4,429.0,22.297,20.75
15145,76,S4,432.0,22.180,20.75
